parametro,ponto_monitoramento,oxigenio_dissolvido,dbo,ecoli,nitrogenio,pH,sdt,temp,turbidez
Oxigênio Dissolvido,P10,1.9,,,,,,,
Oxigênio Dissolvido,P10,4,,,,,,,
Oxigênio Dissolvido,P10,2.5,,,,,,,
Oxigênio Dissolvido,P10,1,,,,,,,
Oxigênio Dissolvido,P10,2.6,,,,,,,
Oxigênio Dissolvido,P10,1.7,,,,,,,
Oxigênio Dissolvido,P10,3.1,,,,,,,
Oxigênio Dissolvido,P10,4.6,,,,,,,
Oxigênio Dissolvido,P10,2.9,,,,,,,
Oxigênio Dissolvido,P10,8.9,,,,,,,
Oxigênio Dissolvido,P10,3.4,,,,,,,
Oxigênio Dissolvido,P10,1.9,,,,,,,
Oxigênio Dissolvido,P10,6.1,,,,,,,
Oxigênio Dissolvido,P10,1,,,,,,,
Oxigênio Dissolvido,P10,3.6,,,,,,,
Oxigênio Dissolvido,P10,3,,,,,,,
Oxigênio Dissolvido,P10,4.7,,,,,,,
Oxigênio Dissolvido,P10,1.3,,,,,,,
Oxigênio Dissolvido,P10,4.4,,,,,,,
Oxigênio Dissolvido,P10,2.7,,,,,,,
Oxigênio Dissolvido,P10,5.7,,,,,,,
Oxigênio Dissolvido,P10,10.1,,,,,,,
Oxigênio Dissolvido,P10,1.3,,,,,,,
Turbidez,P10,,,,,,,,5
Turbidez,P10,,,,,,,,15
Turbidez,P10,,,,,,,,17
Turbidez,P10,,,,,,,,18
Turbidez,P10,,,,,,,,19
Turbidez,P10,,,,,,,,19
Turbidez,P10,,,,,,,,20
Turbidez,P10,,,,,,,,20
Turbidez,P10,,,,,,,,21
Turbidez,P10,,,,,,,,21
Turbidez,P10,,,,,,,,23
Turbidez,P10,,,,,,,,29
Turbidez,P10,,,,,,,,30
Turbidez,P10,,,,,,,,34
Turbidez,P10,,,,,,,,35
Turbidez,P10,,,,,,,,36
Turbidez,P10,,,,,,,,42
Turbidez,P10,,,,,,,,43
Turbidez,P10,,,,,,,,43
Turbidez,P10,,,,,,,,46
Turbidez,P10,,,,,,,,52
Turbidez,P10,,,,,,,,59
Turbidez,P10,,,,,,,,63
Turbidez,P10,,,,,,,,76
Turbidez,P10,,,,,,,,78
Turbidez,P10,,,,,,,,87
Turbidez,P10,,,,,,,,97
Turbidez,P10,,,,,,,,121
Temperatura,P10,,,,,,,15.7,
Temperatura,P10,,,,,,,13.3,
Temperatura,P10,,,,,,,15.7,
Temperatura,P10,,,,,,,15.9,
Temperatura,P10,,,,,,,26.3,
Temperatura,P10,,,,,,,21,
Temperatura,P10,,,,,,,17.3,
Temperatura,P10,,,,,,,20,
Temperatura,P10,,,,,,,17.5,
Temperatura,P10,,,,,,,18.2,
Temperatura,P10,,,,,,,26.2,
Temperatura,P10,,,,,,,23.8,
Temperatura,P10,,,,,,,26.1,
Temperatura,P10,,,,,,,14.3,
Temperatura,P10,,,,,,,24.1,
Temperatura,P10,,,,,,,24.6,
Temperatura,P10,,,,,,,24.9,
Temperatura,P10,,,,,,,25.5,
Temperatura,P10,,,,,,,27.3,
Temperatura,P10,,,,,,,26.5,
Temperatura,P10,,,,,,,15.4,
Temperatura,P10,,,,,,,29.4,
Temperatura,P10,,,,,,,27.2,
Temperatura,P10,,,,,,,27.6,
Temperatura,P10,,,,,,,19.9,
Temperatura,P10,,,,,,,27.7,
Temperatura,P10,,,,,,,25.4,
Temperatura,P10,,,,,,,24.8,
Temperatura,P10,,,,,,,26.4,
Temperatura,P10,,,,,,,23.6,
Temperatura,P10,,,,,,,28.5,
Temperatura,P10,,,,,,,25.2,
Temperatura,P10,,,,,,,25.6,
Turbidez,P11,,,,,,,,80
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,2,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3.1,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,8,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,5,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,9,,,,,,
Demanda Bioquímica de Oxigênio,P11,,13,,,,,,
Demanda Bioquímica de Oxigênio,P11,,14,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,5,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,7,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,13,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,14,,,,,,
Demanda Bioquímica de Oxigênio,P11,,4,,,,,,
Demanda Bioquímica de Oxigênio,P11,,5,,,,,,
Demanda Bioquímica de Oxigênio,P11,,9,,,,,,
Demanda Bioquímica de Oxigênio,P11,,5,,,,,,
Demanda Bioquímica de Oxigênio,P11,,5,,,,,,
Demanda Bioquímica de Oxigênio,P11,,11,,,,,,
Demanda Bioquímica de Oxigênio,P11,,6,,,,,,
Demanda Bioquímica de Oxigênio,P11,,5,,,,,,
Demanda Bioquímica de Oxigênio,P11,,3,,,,,,
Demanda Bioquímica de Oxigênio,P11,,6,,,,,,
Demanda Bioquímica de Oxigênio,P11,,5,,,,,,
Demanda Bioquímica de Oxigênio,P11,,5,,,,,,
Demanda Bioquímica de Oxigênio,P11,,13,,,,,,
pH,P11,,,,,6.5,,,
pH,P11,,,,,7,,,
pH,P11,,,,,6.2,,,
pH,P11,,,,,7,,,
pH,P11,,,,,6.6,,,
pH,P11,,,,,6.5,,,
pH,P11,,,,,6.3,,,
pH,P11,,,,,6.6,,,
pH,P11,,,,,6.6,,,
pH,P11,,,,,6,,,
pH,P11,,,,,6.8,,,
pH,P11,,,,,6.5,,,
pH,P11,,,,,7.5,,,
pH,P11,,,,,6.5,,,
pH,P11,,,,,6.7,,,
pH,P11,,,,,6.5,,,
pH,P11,,,,,6.7,,,
pH,P11,,,,,6.5,,,
pH,P11,,,,,6.7,,,
pH,P11,,,,,7.2,,,
pH,P11,,,,,6.6,,,
pH,P11,,,,,6.5,,,
pH,P11,,,,,6.5,,,
pH,P11,,,,,6.6,,,
pH,P11,,,,,6.7,,,
pH,P11,,,,,6.6,,,
pH,P11,,,,,6.8,,,
pH,P11,,,,,6.7,,,
pH,P11,,,,,6.7,,,
pH,P11,,,,,6.7,,,
pH,P11,,,,,7,,,
pH,P11,,,,,6.6,,,
pH,P11,,,,,7,,,
pH,P11,,,,,6.4,,,
pH,P11,,,,,6.3,,,
pH,P11,,,,,6.4,,,
Oxigênio Dissolvido,P11,0.6,,,,,,,
Oxigênio Dissolvido,P11,7.5,,,,,,,
Oxigênio Dissolvido,P11,1.2,,,,,,,
Oxigênio Dissolvido,P11,5.9,,,,,,,
Oxigênio Dissolvido,P11,5.4,,,,,,,
Oxigênio Dissolvido,P11,5.4,,,,,,,
Oxigênio Dissolvido,P11,4.9,,,,,,,
Oxigênio Dissolvido,P11,2.2,,,,,,,
Oxigênio Dissolvido,P11,2.8,,,,,,,
Oxigênio Dissolvido,P11,2.3,,,,,,,
Oxigênio Dissolvido,P11,4,,,,,,,
Oxigênio Dissolvido,P11,4.4,,,,,,,
Oxigênio Dissolvido,P11,4.9,,,,,,,
Oxigênio Dissolvido,P11,2.9,,,,,,,
Oxigênio Dissolvido,P11,2.8,,,,,,,
Oxigênio Dissolvido,P11,4.4,,,,,,,
Oxigênio Dissolvido,P11,4.2,,,,,,,
Oxigênio Dissolvido,P11,5.4,,,,,,,
Oxigênio Dissolvido,P11,3,,,,,,,
Oxigênio Dissolvido,P11,2.9,,,,,,,
Oxigênio Dissolvido,P11,5.2,,,,,,,
Oxigênio Dissolvido,P11,1.7,,,,,,,
Oxigênio Dissolvido,P11,7.5,,,,,,,
Oxigênio Dissolvido,P11,5.2,,,,,,,
Oxigênio Dissolvido,P11,5.6,,,,,,,
Oxigênio Dissolvido,P11,0.9,,,,,,,
Oxigênio Dissolvido,P11,3.1,,,,,,,
Oxigênio Dissolvido,P11,2.2,,,,,,,
Oxigênio Dissolvido,P11,4.9,,,,,,,
Oxigênio Dissolvido,P11,3,,,,,,,
Oxigênio Dissolvido,P11,2.9,,,,,,,
Oxigênio Dissolvido,P11,4.3,,,,,,,
Oxigênio Dissolvido,P11,7.6,,,,,,,
Turbidez,P11,,,,,,,,12
Turbidez,P11,,,,,,,,17
Turbidez,P11,,,,,,,,17
Turbidez,P11,,,,,,,,19
Turbidez,P11,,,,,,,,20
Turbidez,P11,,,,,,,,21
Turbidez,P11,,,,,,,,21
Turbidez,P11,,,,,,,,22
Turbidez,P11,,,,,,,,28
Turbidez,P11,,,,,,,,28
Turbidez,P11,,,,,,,,29
Turbidez,P11,,,,,,,,30
Turbidez,P11,,,,,,,,31
Turbidez,P11,,,,,,,,31
Turbidez,P11,,,,,,,,36
Turbidez,P11,,,,,,,,38
Turbidez,P11,,,,,,,,42
Turbidez,P11,,,,,,,,48
Turbidez,P11,,,,,,,,52
Turbidez,P11,,,,,,,,53
Turbidez,P11,,,,,,,,53
Turbidez,P11,,,,,,,,57
Turbidez,P11,,,,,,,,63
Turbidez,P11,,,,,,,,65
Turbidez,P11,,,,,,,,70
Demanda Bioquímica de Oxigênio,P11,,1,,,,,,
Turbidez,P11,,,,,,,,109
Turbidez,P11,,,,,,,,112
Temperatura,P11,,,,,,,15.7,
Temperatura,P11,,,,,,,13.3,
Temperatura,P11,,,,,,,15.8,
Temperatura,P11,,,,,,,20,
Temperatura,P11,,,,,,,23,
Temperatura,P11,,,,,,,17.9,
Temperatura,P11,,,,,,,20,
Temperatura,P11,,,,,,,19.4,
Temperatura,P11,,,,,,,18,
Temperatura,P11,,,,,,,18.8,
Temperatura,P11,,,,,,,28.5,
Temperatura,P11,,,,,,,23.8,
Temperatura,P11,,,,,,,26.5,
Temperatura,P11,,,,,,,15.9,
Temperatura,P11,,,,,,,28.4,
Temperatura,P11,,,,,,,15.7,
Temperatura,P11,,,,,,,32.4,
Temperatura,P11,,,,,,,21.6,
Temperatura,P11,,,,,,,26.2,
Temperatura,P11,,,,,,,23.8,
Temperatura,P11,,,,,,,28.3,
Temperatura,P11,,,,,,,29.5,
Temperatura,P11,,,,,,,27.9,
Temperatura,P11,,,,,,,28.6,
Temperatura,P11,,,,,,,24.3,
Temperatura,P11,,,,,,,23,
Temperatura,P11,,,,,,,18.4,
Temperatura,P11,,,,,,,27.1,
Temperatura,P11,,,,,,,15.7,
Temperatura,P11,,,,,,,15.3,
Temperatura,P11,,,,,,,23.8,
Temperatura,P11,,,,,,,15.2,
Temperatura,P11,,,,,,,23.3,
Temperatura,P11,,,,,,,16.6,
Temperatura,P11,,,,,,,27.2,
Temperatura,P11,,,,,,,15,
Temperatura,P11,,,,,,,13.7,
Temperatura,P11,,,,,,,16.8,
Temperatura,P11,,,,,,,17.2,
Escherichia coli,P11,,,24000,,,,,
Escherichia coli,P11,,,400,,,,,
Escherichia coli,P11,,,1300,,,,,
Escherichia coli,P11,,,520,,,,,
Escherichia coli,P11,,,1200,,,,,
Escherichia coli,P11,,,1300,,,,,
Escherichia coli,P11,,,2800,,,,,
Escherichia coli,P11,,,1700,,,,,
Escherichia coli,P11,,,1980,,,,,
Escherichia coli,P11,,,105000,,,,,
Escherichia coli,P11,,,24000,,,,,
Escherichia coli,P11,,,4000,,,,,
Escherichia coli,P11,,,3100,,,,,
Escherichia coli,P11,,,10000,,,,,
Escherichia coli,P11,,,30,,,,,
Escherichia coli,P11,,,1900,,,,,
Escherichia coli,P11,,,490,,,,,
Escherichia coli,P11,,,980,,,,,
Escherichia coli,P11,,,360,,,,,
Escherichia coli,P11,,,1800,,,,,
Escherichia coli,P11,,,360,,,,,
Escherichia coli,P11,,,3650,,,,,
Escherichia coli,P11,,,310,,,,,
Escherichia coli,P11,,,590,,,,,
Escherichia coli,P11,,,4880,,,,,
Escherichia coli,P11,,,3400,,,,,
Escherichia coli,P11,,,10000,,,,,
Escherichia coli,P11,,,2200,,,,,
Escherichia coli,P11,,,1000,,,,,
Escherichia coli,P11,,,2910,,,,,
Escherichia coli,P11,,,910,,,,,
Sólidos Dissolvidos Totais,P11,,,,,,134,,
Sólidos Dissolvidos Totais,P11,,,,,,124,,
Sólidos Dissolvidos Totais,P11,,,,,,122,,
Sólidos Dissolvidos Totais,P11,,,,,,104,,
Sólidos Dissolvidos Totais,P11,,,,,,99,,
Sólidos Dissolvidos Totais,P11,,,,,,127,,
Sólidos Dissolvidos Totais,P11,,,,,,76,,
Sólidos Dissolvidos Totais,P11,,,,,,131,,
Sólidos Dissolvidos Totais,P11,,,,,,146,,
Sólidos Dissolvidos Totais,P11,,,,,,138,,
Sólidos Dissolvidos Totais,P11,,,,,,131,,
Sólidos Dissolvidos Totais,P11,,,,,,108,,
Sólidos Dissolvidos Totais,P11,,,,,,140,,
Sólidos Dissolvidos Totais,P11,,,,,,98,,
Sólidos Dissolvidos Totais,P11,,,,,,125,,
Sólidos Dissolvidos Totais,P11,,,,,,106,,
Sólidos Dissolvidos Totais,P11,,,,,,96,,
Sólidos Dissolvidos Totais,P11,,,,,,92,,
Sólidos Dissolvidos Totais,P11,,,,,,95,,
Sólidos Dissolvidos Totais,P11,,,,,,105,,
Sólidos Dissolvidos Totais,P11,,,,,,321,,
Sólidos Dissolvidos Totais,P11,,,,,,70,,
Sólidos Dissolvidos Totais,P11,,,,,,115,,
Sólidos Dissolvidos Totais,P11,,,,,,117,,
Sólidos Dissolvidos Totais,P11,,,,,,128,,
Sólidos Dissolvidos Totais,P11,,,,,,134,,
Sólidos Dissolvidos Totais,P11,,,,,,103,,
Sólidos Dissolvidos Totais,P11,,,,,,195,,
Sólidos Dissolvidos Totais,P11,,,,,,113,,
Sólidos Dissolvidos Totais,P11,,,,,,143,,
Sólidos Dissolvidos Totais,P11,,,,,,176,,
Sólidos Dissolvidos Totais,P11,,,,,,142,,
Sólidos Dissolvidos Totais,P11,,,,,,42,,
Sólidos Dissolvidos Totais,P11,,,,,,75,,
Sólidos Dissolvidos Totais,P11,,,,,,168,,
Sólidos Dissolvidos Totais,P11,,,,,,83,,
Sólidos Dissolvidos Totais,P11,,,,,,38,,
Nitrogênio amoniacal,P11,,,,1.29,,,,
Nitrogênio amoniacal,P11,,,,0.841,,,,
Nitrogênio amoniacal,P11,,,,0.085,,,,
Nitrogênio amoniacal,P11,,,,0.772,,,,
Nitrogênio amoniacal,P11,,,,2.54,,,,
Nitrogênio amoniacal,P11,,,,0.417,,,,
Nitrogênio amoniacal,P11,,,,1.79,,,,
Nitrogênio amoniacal,P11,,,,0.423,,,,
Nitrogênio amoniacal,P11,,,,1.78,,,,
Nitrogênio amoniacal,P11,,,,2.16,,,,
Nitrogênio amoniacal,P11,,,,0.573,,,,
Nitrogênio amoniacal,P11,,,,1.02,,,,
Nitrogênio amoniacal,P11,,,,0.296,,,,
Nitrogênio amoniacal,P11,,,,0.791,,,,
Nitrogênio amoniacal,P11,,,,0.456,,,,
Nitrogênio amoniacal,P11,,,,0.154,,,,
Nitrogênio amoniacal,P11,,,,0.318,,,,
Nitrogênio amoniacal,P11,,,,1.16,,,,
Nitrogênio amoniacal,P11,,,,1.08,,,,
Nitrogênio amoniacal,P11,,,,0.83,,,,
Nitrogênio amoniacal,P11,,,,0.45,,,,
Nitrogênio amoniacal,P11,,,,1.86,,,,
Nitrogênio amoniacal,P11,,,,0.43,,,,
Nitrogênio amoniacal,P11,,,,0.48,,,,
Nitrogênio amoniacal,P11,,,,9.75,,,,
Nitrogênio amoniacal,P11,,,,0.53,,,,
Nitrogênio amoniacal,P11,,,,3.15,,,,
Nitrogênio amoniacal,P11,,,,0.72,,,,
Nitrogênio amoniacal,P11,,,,0.3,,,,
Nitrogênio amoniacal,P11,,,,2,,,,
Nitrogênio amoniacal,P11,,,,2.5,,,,
Nitrogênio amoniacal,P11,,,,1.2,,,,
Nitrogênio amoniacal,P11,,,,1.6,,,,
Nitrogênio amoniacal,P11,,,,0.3,,,,
Nitrogênio amoniacal,P11,,,,0.434,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Demanda Bioquímica de Oxigênio,P2,,1,,,,,,
Escherichia coli,P2,,,56,,,,,
pH,P2,,,,,6.8,,,
pH,P2,,,,,6.5,,,
pH,P2,,,,,7,,,
pH,P2,,,,,7.5,,,
pH,P2,,,,,6.5,,,
pH,P2,,,,,7.3,,,
pH,P2,,,,,7,,,
pH,P2,,,,,6.7,,,
pH,P2,,,,,7.3,,,
pH,P2,,,,,7.3,,,
pH,P2,,,,,7,,,
pH,P2,,,,,7.5,,,
pH,P2,,,,,6.6,,,
pH,P2,,,,,6.8,,,
pH,P2,,,,,7.4,,,
pH,P2,,,,,7.4,,,
pH,P2,,,,,7.4,,,
pH,P2,,,,,7.6,,,
Oxigênio Dissolvido,P2,8.2,,,,,,,
Oxigênio Dissolvido,P2,8,,,,,,,
Oxigênio Dissolvido,P2,11.4,,,,,,,
Oxigênio Dissolvido,P2,8,,,,,,,
Oxigênio Dissolvido,P2,8.2,,,,,,,
Oxigênio Dissolvido,P2,7.3,,,,,,,
Oxigênio Dissolvido,P2,8,,,,,,,
Oxigênio Dissolvido,P2,12,,,,,,,
Oxigênio Dissolvido,P2,8.4,,,,,,,
Oxigênio Dissolvido,P2,8.6,,,,,,,
Oxigênio Dissolvido,P2,7.6,,,,,,,
Oxigênio Dissolvido,P2,6.2,,,,,,,
Oxigênio Dissolvido,P2,6,,,,,,,
Oxigênio Dissolvido,P2,7.2,,,,,,,
Oxigênio Dissolvido,P2,7.8,,,,,,,
Oxigênio Dissolvido,P2,9,,,,,,,
Oxigênio Dissolvido,P2,10.2,,,,,,,
Oxigênio Dissolvido,P2,8.2,,,,,,,
Oxigênio Dissolvido,P2,7.2,,,,,,,
Oxigênio Dissolvido,P2,9.4,,,,,,,
Oxigênio Dissolvido,P2,8.7,,,,,,,
Oxigênio Dissolvido,P2,8.3,,,,,,,
Oxigênio Dissolvido,P2,8.3,,,,,,,
Oxigênio Dissolvido,P2,9.5,,,,,,,
Oxigênio Dissolvido,P2,10.2,,,,,,,
Oxigênio Dissolvido,P2,7.9,,,,,,,
Oxigênio Dissolvido,P2,6.2,,,,,,,
Oxigênio Dissolvido,P2,9.2,,,,,,,
Oxigênio Dissolvido,P2,8.4,,,,,,,
Oxigênio Dissolvido,P2,8.1,,,,,,,
Turbidez,P2,,,,,,,,2
Turbidez,P2,,,,,,,,3
Turbidez,P2,,,,,,,,4
Turbidez,P2,,,,,,,,4
Turbidez,P2,,,,,,,,4
Turbidez,P2,,,,,,,,5
Turbidez,P2,,,,,,,,5
Turbidez,P2,,,,,,,,5
Turbidez,P2,,,,,,,,5
Turbidez,P2,,,,,,,,6
Turbidez,P2,,,,,,,,7
Turbidez,P2,,,,,,,,8
Turbidez,P2,,,,,,,,9
Turbidez,P2,,,,,,,,10
Turbidez,P2,,,,,,,,11
Turbidez,P2,,,,,,,,13
Turbidez,P2,,,,,,,,13
Turbidez,P2,,,,,,,,14
Turbidez,P2,,,,,,,,14
Turbidez,P2,,,,,,,,16
Turbidez,P2,,,,,,,,18
Turbidez,P2,,,,,,,,20
Turbidez,P2,,,,,,,,21
Turbidez,P2,,,,,,,,22
Turbidez,P2,,,,,,,,25
Turbidez,P2,,,,,,,,30
Turbidez,P2,,,,,,,,35
Temperatura,P2,,,,,,,14.5,
Temperatura,P2,,,,,,,13.4,
Temperatura,P2,,,,,,,16.8,
Temperatura,P2,,,,,,,20.4,
Temperatura,P2,,,,,,,16.7,
Temperatura,P2,,,,,,,15.3,
Temperatura,P2,,,,,,,17.5,
Temperatura,P2,,,,,,,20,
Temperatura,P2,,,,,,,20.4,
Temperatura,P2,,,,,,,23.5,
Temperatura,P2,,,,,,,17,
Temperatura,P2,,,,,,,26.8,
Temperatura,P2,,,,,,,12,
Temperatura,P2,,,,,,,26,
Temperatura,P2,,,,,,,11.2,
Temperatura,P2,,,,,,,28.8,
Temperatura,P2,,,,,,,16,
Temperatura,P2,,,,,,,24,
Temperatura,P2,,,,,,,25.3,
Temperatura,P2,,,,,,,23,
Temperatura,P2,,,,,,,26,
Temperatura,P2,,,,,,,25.1,
Temperatura,P2,,,,,,,22,
Temperatura,P2,,,,,,,23.9,
Temperatura,P2,,,,,,,15.9,
Temperatura,P2,,,,,,,22.3,
Temperatura,P2,,,,,,,11.3,
Temperatura,P2,,,,,,,12.6,
Temperatura,P2,,,,,,,20.5,
Temperatura,P2,,,,,,,19.5,
Temperatura,P2,,,,,,,19.5,
Temperatura,P2,,,,,,,14,
Temperatura,P2,,,,,,,22.2,
Temperatura,P2,,,,,,,16.6,
Temperatura,P2,,,,,,,14.5,
Temperatura,P2,,,,,,,10.5,
Temperatura,P2,,,,,,,15,
Temperatura,P2,,,,,,,16,
Escherichia coli,P2,,,137.6,,,,,
Escherichia coli,P2,,,440,,,,,
Escherichia coli,P2,,,4.8,,,,,
Escherichia coli,P2,,,10.4,,,,,
Escherichia coli,P2,,,58,,,,,
Escherichia coli,P2,,,1400,,,,,
Escherichia coli,P2,,,90,,,,,
pH,P2,,,,,7.2,,,
Escherichia coli,P2,,,154,,,,,
Escherichia coli,P2,,,980,,,,,
Escherichia coli,P2,,,730,,,,,
Escherichia coli,P2,,,730,,,,,
Escherichia coli,P2,,,410,,,,,
Escherichia coli,P2,,,5,,,,,
Escherichia coli,P2,,,210,,,,,
Escherichia coli,P2,,,580,,,,,
Escherichia coli,P2,,,140,,,,,
Escherichia coli,P2,,,250,,,,,
Escherichia coli,P2,,,130,,,,,
Escherichia coli,P2,,,53,,,,,
Escherichia coli,P2,,,387,,,,,
Escherichia coli,P2,,,120,,,,,
Escherichia coli,P2,,,30,,,,,
Escherichia coli,P2,,,240,,,,,
Escherichia coli,P2,,,200,,,,,
Escherichia coli,P2,,,50,,,,,
Escherichia coli,P2,,,191,,,,,
Escherichia coli,P2,,,547,,,,,
Escherichia coli,P2,,,160,,,,,
Escherichia coli,P2,,,2400,,,,,
Escherichia coli,P2,,,50,,,,,
Escherichia coli,P2,,,360,,,,,
Escherichia coli,P2,,,40,,,,,
Escherichia coli,P2,,,308,,,,,
Escherichia coli,P2,,,91,,,,,
Sólidos Dissolvidos Totais,P2,,,,,,65,,
Sólidos Dissolvidos Totais,P2,,,,,,64,,
Sólidos Dissolvidos Totais,P2,,,,,,50,,
Sólidos Dissolvidos Totais,P2,,,,,,67,,
Sólidos Dissolvidos Totais,P2,,,,,,49,,
Sólidos Dissolvidos Totais,P2,,,,,,39,,
Sólidos Dissolvidos Totais,P2,,,,,,25,,
Sólidos Dissolvidos Totais,P2,,,,,,59,,
Sólidos Dissolvidos Totais,P2,,,,,,81,,
Sólidos Dissolvidos Totais,P2,,,,,,55,,
Sólidos Dissolvidos Totais,P2,,,,,,46,,
Sólidos Dissolvidos Totais,P2,,,,,,50,,
Sólidos Dissolvidos Totais,P2,,,,,,71,,
Sólidos Dissolvidos Totais,P2,,,,,,54,,
Sólidos Dissolvidos Totais,P2,,,,,,50,,
Sólidos Dissolvidos Totais,P2,,,,,,43,,
Sólidos Dissolvidos Totais,P2,,,,,,52,,
Sólidos Dissolvidos Totais,P2,,,,,,46,,
Sólidos Dissolvidos Totais,P2,,,,,,53,,
Sólidos Dissolvidos Totais,P2,,,,,,34,,
Sólidos Dissolvidos Totais,P2,,,,,,13,,
Sólidos Dissolvidos Totais,P2,,,,,,42,,
Sólidos Dissolvidos Totais,P2,,,,,,53,,
Sólidos Dissolvidos Totais,P2,,,,,,45,,
Sólidos Dissolvidos Totais,P2,,,,,,66,,
Sólidos Dissolvidos Totais,P2,,,,,,57,,
Sólidos Dissolvidos Totais,P2,,,,,,46,,
Sólidos Dissolvidos Totais,P2,,,,,,52,,
Sólidos Dissolvidos Totais,P2,,,,,,57,,
Sólidos Dissolvidos Totais,P2,,,,,,53,,
Sólidos Dissolvidos Totais,P2,,,,,,73,,
